Epsi_AM,Sigma_AM,Epsi_CBD,Rho_CBD,Kn,Gamman,Xu,slurry_density,visco1(18),visco2(125)
0.256676,0.700553,0.0736222,0.0941767,5.30778,5,0.010096,1.677017857,2.164645161,0.020670773
0.17751,0.700322,0.0709729,0.0891737,6.0674,5,0.00969097,1.546263393,2.307354839,0.683581818
0.271072,0.701034,0.0746487,0.0832884,7.53039,5,0.0103671,1.361683036,2.328741935,0.648272727
0.258143,0.7,0.07055,0.0852943,5.74069,5,0.00989385,1.567116071,1.911064516,0.819509091
0.162483,0.700766,0.0795827,0.0933402,7.13766,5,0.0141485,1.445879464,1.11741129,0.327258636
0.275341,0.700219,0.0722414,0.0942652,7.71771,5,0.0105884,1.39590625,2.405903226,0.695404545
0.272855,0.700095,0.0682828,0.0904455,6.09291,5,0.00947721,1.548696429,2.461629032,0.030678409
0.176674,0.700043,0.073345,0.0857263,6.34825,5,0.0121308,1.493638393,1.685903226,0.550772727
0.266798,0.700151,0.0702906,0.088525,6.19713,5,0.0106256,1.525566964,1.972580645,0.738390909
0.27731,0.70122,0.0687418,0.0909258,6.23295,5,0.00948937,1.5338125,2.265387097,0.857727273
0.255222,0.7,0.0683305,0.0871122,7.66683,5,0.0122303,1.367299107,1.894467742,0.322828182
0.260087,0.7,0.0527423,0.0841157,7.64822,5,0.0106104,1.355821429,2.490467742,0.536431818
0.13757,0.700078,0.0799685,0.0959601,6.88981,5,0.0104512,1.485651786,1.90433871,0.538863636
0.175541,0.7,0.0730102,0.101062,6.27811,5,0.0136833,1.563026786,1.084367742,0.385942273
0.160284,0.700102,0.0697183,0.0835953,6.61448,5,0.0102744,1.454428571,2.224919355,0.520068182
0.275659,0.700106,0.0527325,0.0838734,6.09455,5,0.0107257,1.514558036,1.776483871,0.527513636
0.17751,0.701858,0.0651457,0.0918007,5.99858,5,0.00930282,1.568745536,2.466580645,0.84725
0.218331,0.7,0.0656484,0.0814606,4.79012,5,0.0110517,1.689745536,1.561683871,0.710927273
0.255962,0.700013,0.0571704,0.0880269,5.84028,5,0.0104866,1.568558036,1.928209677,0.684231818
0.17341,0.701312,0.0786744,0.0928353,6.5845,5,0.00824526,1.503558036,2.632903226,0.940113636
0.134204,0.7,0.0654985,0.0746676,4.94503,5,0.0100089,1.62703125,1.96833871,0.667663636
0.228592,0.700173,0.0672774,0.0927411,4.3366,5,0.0105152,1.842375,2.211741935,0.881063636
0.267181,0.70043,0.0551958,0.0909481,5.55917,5,0.0108459,1.622352679,2.07433871,0.849686364
0.0777098,0.701072,0.0645756,0.0896718,5.51816,5,0.00902789,1.625084821,1.783693548,0.881327273
0.252682,0.700068,0.0659879,0.0852872,5.34333,5,0.00907126,1.62359375,2.2715,0.157691364
0.19668,0.701086,0.0615639,0.0794829,6.62997,5,0.0120453,1.431428571,1.785145161,0.355802727
0.131677,0.700416,0.063745,0.0729003,5.41748,5,0.0100693,1.546375,1.809580645,0.781036364
0.260097,0.700152,0.0711624,0.0904807,6.30391,5,0.0106189,1.522834821,1.890145161,0.742190909
