Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
1.0,93.0,7.0,50.0,50.0,50.0,79.1,1.0,39.75,1.7019999999999995,39.22,23.389999999999997,40.89999999999999,0.29085402727751,174.20989644446,0.008187815258454,6.30476010645925,1.30460722058403
1.0,94.0,6.0,45.0,50.0,50.0,88.5,1.0,10.668000000000003,1.8890000000000005,33.11999999999999,20.85,49.699999999999996,0.33510232704723,174.20989644446,0.035149934754954,3.26619044147766,1.37440896388229
1.0,94.0,6.0,46.0,50.0,50.0,86.8,1.0,12.959999999999997,1.842,35.099999999999994,20.54,47.699999999999996,0.327939669759,174.20989644446,0.028315161300951,3.6,1.35720300618588
1.0,94.0,6.0,47.0,50.0,50.0,85.1,1.0,13.66,1.8270000000000004,37.559999999999995,20.07,47.10000000000001,0.32077701247077,174.20989644446,0.026277414125534,3.69594372251527,1.35166563912826
1.0,94.0,6.0,48.0,50.0,50.0,83.4,1.0,16.720000000000002,1.777,35.13,21.779999999999998,45.199999999999996,0.31361435518254,174.20989644446,0.020988903316344,4.08900966005217,1.33304163475865
1.0,94.0,6.0,49.0,50.0,50.0,81.6,1.0,21.93,1.736,37.3,21.169999999999998,43.300000000000004,0.30645169789431,174.20989644446,0.01563700182142,4.68294778958724,1.31757352736005
1.0,94.0,6.0,50.0,50.0,50.0,79.9,1.0,30.68999999999999,1.6989999999999998,39.339999999999996,21.270000000000003,41.39999999999999,0.29928904060608,174.20989644446,0.010912493855921,5.53985559378582,1.30345694213503
1.0,95.0,5.0,45.0,50.0,50.0,89.4,1.0,8.610000000000001,1.9169999999999998,34.61,17.64,51.8,0.3435373403758,174.20989644446,0.044647884306681,2.93428015022424,1.38455769110572
1.0,95.0,5.0,46.0,50.0,50.0,87.6,1.0,9.812999999999999,1.8679999999999999,37.239999999999995,17.650000000000002,49.800000000000004,0.33637468308757,174.20989644446,0.038357614427289,3.13257082920722,1.36674796506159
1.0,95.0,5.0,47.0,50.0,50.0,85.9,1.0,11.78,1.8189999999999997,38.72,17.199999999999996,47.800000000000004,0.32921202579934,174.20989644446,0.031272347781788,3.4322004603461,1.3487030807409
1.0,95.0,5.0,48.0,50.0,50.0,84.2,1.0,12.16,1.807,38.93,17.71,47.199999999999996,0.32204936851111,174.20989644446,0.029635957513481,3.48711915483254,1.34424700111252
1.0,95.0,5.0,49.0,50.0,50.0,82.5,1.0,15.13,1.7619999999999998,40.42,18.119999999999997,45.27,0.31488671122288,174.20989644446,0.023288713143318,3.88973006775534,1.32740348048361
1.0,95.0,5.0,50.0,50.0,50.0,80.8,1.0,19.43,1.721,38.809999999999995,18.65,43.300000000000004,0.30772405393465,174.20989644446,0.017722244794281,4.40794736810684,1.31186889588861
1.0,96.0,4.0,45.0,50.0,50.0,90.2,1.0,6.982000000000001,1.9419999999999997,39.07000000000001,13.700000000000003,54.0,0.35197235370437,174.20989644446,0.056410350013634,2.64234744119694,1.39355660093159
1.0,96.0,4.0,46.0,50.0,50.0,88.5,1.0,7.886,1.8960000000000001,39.27,14.12,51.89999999999999,0.34480969641614,174.20989644446,0.048927472773226,2.80820227191704,1.37695315824468
1.0,96.0,4.0,47.0,50.0,50.0,86.8,1.0,9.001999999999999,1.846,39.17999999999999,14.820000000000002,49.800000000000004,0.33764703912791,174.20989644446,0.041971454874931,3.00033331481687,1.3586758259423
1.0,96.0,4.0,48.0,50.0,50.0,85.0,1.0,9.678,1.828,40.36,14.660000000000002,49.27,0.33048438183968,174.20989644446,0.03821161637514,3.11094840844396,1.35203550249245
1.0,96.0,4.0,49.0,50.0,50.0,83.3,1.0,11.750000000000002,1.7869999999999997,41.150000000000006,14.830000000000002,47.300000000000004,0.32332172455145,174.20989644446,0.030791234874304,3.42782730020052,1.33678719323608
1.0,96.0,4.0,50.0,50.0,50.0,81.6,1.0,14.219999999999999,1.7400000000000002,40.82000000000001,15.719999999999999,45.300000000000004,0.31615906726322,174.20989644446,0.024879183985059,3.77094152699296,1.31909059582729
11.0,93.0,7.0,45.0,50.0,50.0,87.9,1.0,13.260000000000002,1.8650000000000002,32.489999999999995,23.43,47.89999999999999,0.32915406694866,132.510528403874,0.027777028726663,3.64142829120662,1.36565002837477
11.0,93.0,7.0,46.0,50.0,50.0,86.3,1.0,14.12,1.8479999999999996,34.83,22.229999999999997,47.300000000000004,0.32271128794243,132.510528403874,0.025574641020367,3.75765884561119,1.35941163743731
11.0,93.0,7.0,47.0,50.0,50.0,84.6,1.0,18.0,1.8060000000000003,33.57,23.439999999999994,45.40999999999999,0.3162685089362,132.510528403874,0.019661358972201,4.24264068711929,1.34387499418659
11.0,93.0,7.0,48.0,50.0,50.0,83.0,1.0,23.110000000000007,1.765,34.36,23.389999999999997,43.60000000000001,0.30982572992997,132.510528403874,0.015001946853814,4.80728613668877,1.32853302555864
11.0,93.0,7.0,49.0,50.0,50.0,81.3,1.0,24.709999999999997,1.752,36.129999999999995,23.21,43.10000000000001,0.30338295092374,132.510528403874,0.013738790857291,4.97091540865463,1.32363136862194
11.0,93.0,7.0,50.0,50.0,50.0,79.7,1.0,37.059999999999995,1.7109999999999999,33.22,25.580000000000002,41.300000000000004,0.29694017191751,132.510528403874,0.008965894559517,6.08769250208977,1.30805198673447
11.0,94.0,6.0,45.0,50.0,50.0,88.8,1.0,10.256,1.9,36.67,19.05,49.919999999999995,0.33758908027723,132.510528403874,0.036833285962385,3.2024990241997,1.37840487520902
11.0,94.0,6.0,46.0,50.0,50.0,87.1,1.0,10.754000000000001,1.8830000000000002,36.71,18.78,49.300000000000004,0.331146301271,132.510528403874,0.03445719835617,3.27932919969923,1.37222447143315
11.0,94.0,6.0,47.0,50.0,50.0,85.5,1.0,13.459999999999999,1.832,35.58,20.67,47.39999999999999,0.32470352226477,132.510528403874,0.026994297281893,3.66878726556883,1.35351394525509
11.0,94.0,6.0,48.0,50.0,50.0,83.8,1.0,15.55,1.791,35.269999999999996,21.79,45.580000000000005,0.31826074325854,132.510528403874,0.022902493357319,3.94334883062607,1.33828248139173
11.0,94.0,6.0,49.0,50.0,50.0,82.2,1.0,17.16,1.778,38.190000000000005,20.699999999999996,45.010000000000005,0.31181796425231,132.510528403874,0.020333584032537,4.1424630354416,1.33341666406266
11.0,94.0,6.0,50.0,50.0,50.0,80.5,1.0,21.229999999999997,1.736,36.05,22.1,43.199999999999996,0.30537518524608,132.510528403874,0.016095847022627,4.60760241340331,1.31757352736005
11.0,95.0,5.0,45.0,50.0,50.0,89.6,1.0,8.212,1.9259999999999997,37.78,16.68,52.05,0.3460240936058,132.510528403874,0.047150628439466,2.86565873753313,1.38780402074645
11.0,95.0,5.0,46.0,50.0,50.0,88.0,1.0,9.620000000000001,1.8780000000000001,38.87,17.130000000000003,50.10000000000001,0.33958131459957,132.510528403874,0.039500154993443,3.10161248385416,1.37040140105007
11.0,95.0,5.0,47.0,50.0,50.0,86.3,1.0,10.178999999999998,1.859,36.839999999999996,18.04,49.489999999999995,0.33313853559334,132.510528403874,0.036622656580111,3.1904545130749,1.3634515026212
11.0,95.0,5.0,48.0,50.0,50.0,84.7,1.0,12.190000000000001,1.8150000000000002,37.76,17.98,47.60000000000001,0.32669575658711,132.510528403874,0.029989544841754,3.49141805001922,1.34721935853075
